Autolycus A,4.17,30.92,2.17
Autolycus K,3.02,31.21,5.43
Auwers,19.64,15,17.12
Auwers A,7.58,13.77,18.31
Auzout,32.92,10.21,64.01
Auzout C,16.86,8.79,65.27
Auzout D,11.66,9.35,62.43
Auzout E,17.36,9.57,60.66
Auzout L,7.5,8.34,61.3
Auzout R,7.68,8.7,60.04
Auzout U,8.15,9.39,61.05
Auzout V,7.82,9.34,61.31
Avery,10.73,-1.32,81.37
Avicenna,72.99,39.63,-97.28
Avicenna E,25.64,40.19,-91.25
Avicenna G,24.51,39.19,-92.05
Avicenna R,18.74,38.9,-100.08
Avogadro,129.84,63.21,165.36
Avogadro D,19.47,63.84,170.22
Azophi,47.54,-22.19,12.7
Azophi A,28.3,-24.43,11.18
Azophi B,18.33,-23.58,10.59
Azophi C,5.36,-21.81,13.06
Azophi D,8.49,-24.32,13.39
Azophi E,4.91,-23.48,13.77
Azophi F,5.95,-22.31,13.84
Azophi G,54.65,-23.87,12.27
Azophi H,20.7,-25.58,11.84
Azophi J,7.53,-21.29,13.17
Baade,57.85,-44.75,-82.03
Babakin,19.15,-20.81,123.26
Babbage,146.56,59.56,-57.38
Babbage A,32.28,59.14,-55.65
Babbage B,6.55,57.05,-59.63
Babbage C,13.71,59.19,-57.51
Babbage D,70.96,58.65,-61.17
Babbage E,7.18,58.47,-61.61
Babbage U,5.09,60.97,-51.34
Babbage X,6.37,60.3,-50.28
Babcock,95.28,4.13,94.14
Babcock H,63.4,3.11,96.51
Babcock K,9.98,1.19,95.14
Baby Ray,0.17,-9.08,15.42
Back,34.63,1.2,80.67
Backlund,75.46,-16.22,103.35
Backlund E,13.38,-15.8,105.57
Backlund L,57.19,-18.37,103.82
Backlund N,18.04,-17.91,103.07
Backlund P,26.19,-19.01,102.31
Backlund R,22.97,-16.9,101.87
Backlund S,20.85,-16.92,100.99
Baco,65.31,-51.04,19.1
Baco A,38.71,-52.99,20.21
Baco B,41.43,-49.63,16.58
Baco C,13.21,-50.92,14.71
Baco D,7,-51.73,16.29
Baco E,27.05,-53.03,16.17
Baco F,5.79,-50.37,17.65
Baco G,8.23,-54.47,17.16
Baco H,6.24,-52.07,18.95
Baco J,16.64,-54.83,19.27
Baco K,28.03,-54.08,17.62
Baco L,6.19,-49.6,16.75
Baco M,7.22,-49.27,17.95
Baco N,19.14,-50.9,16.2
Baco O,9.26,-52.12,19.88
Baco P,3.15,-51.04,19.73
Baco Q,17.31,-52.41,18.62
Baco R,17.43,-49.24,20.92
Baco S,16.71,-49.41,18.46
Baco T,4.88,-53.87,19.77
Baco U,5.8,-52.47,19.3
Baco W,9.04,-53.39,21.11
Baco Z,6.53,-53.11,14.96
Baillaud,89.44,74.61,37.35
Baillaud A,55.61,75.61,48.28
Baillaud B,18.08,72.93,32.91
Baillaud C,11.36,74.9,50.91
Baillaud D,15.42,73.41,49.28
Baillaud E,14.28,74.33,35.95
Baillaud F,18.81,75.62,53.02
Bailly,300.56,-66.82,-68.9
Bailly A,42.68,-69.28,-59.57
Bailly B,62.21,-68.74,-63.25
Bailly C,19.29,-65.79,-70.34
Bailly D,26.62,-65.25,-72.38
Bailly E,16.42,-62.45,-65.75
Bailly F,16.84,-67.46,-69.59
Bailly G,18.72,-65.63,-59.47
Bailly H,12.93,-63.57,-62.59
Bailly K,18.55,-62.73,-76.71
Bailly L,21.27,-60.71,-71.13
Bailly M,20.19,-61.16,-67.51
Bailly N,10.96,-60.53,-63.68
Bailly O,18.72,-69.59,-56.92
Bailly P,14.38,-59.57,-60.67
Bailly R,17.14,-64.66,-79.18
Bailly T,19.42,-66.49,-73.83
Bailly U,23.97,-71.24,-76.03
Bailly V,32.15,-71.91,-81.45
Bailly Y,14.26,-61.04,-65.6
Bailly Z,13.49,-60.22,-65.86
Baily,25.68,49.78,30.56
Baily A,16.25,48.71,31.39
Baily B,6.96,51,35.18
Baily K,3.42,51.51,30.53
Balandin,11.81,-18.94,152.58
Balboa,69.19,19.24,-83.31
Balboa A,46.66,17.42,-82.02
Balboa B,54.25,20.49,-82.57
Balboa C,26.09,19.59,-79.17
Balboa D,40.37,18.25,-79.8
Baldet,55.76,-53.32,-151.96
Baldet J,17.2,-54.77,-150.25
Ball,40.31,-35.92,-8.39
Ball A,29.23,-34.74,-9.4
Ball B,9.72,-36.92,-9.19
Ball C,31.15,-37.7,-8.79
Ball D,22.45,-35.62,-10.42
Ball E,4.39,-36.53,-8.18
Ball F,11.38,-36.95,-8.49
Ball G,26.73,-37.72,-10.22
Balmer,136.3,-20.27,70.22
Balmer M,6.55,-20.76,71.55
Balmer N,8.47,-19.92,69.82
Balmer P,15.25,-20.48,67.58
Balmer Q,7.98,-18.69,70.5
Balmer R,5.72,-18.71,69.14
Balmer S,6.53,-18.57,67.63
[Balzac],0,-8,95
Banachiewicz,99.09,5.28,80.01
Banachiewicz B,23.02,5.29,78.97
Banachiewicz C,21.27,7.02,75.33
Banachiewicz E,8.59,7.57,74.75
Bancroft,12.5,28.07,-6.43
Banting,5.15,26.58,16.43
Barbier,65.38,-23.85,157.93
Barbier D,21.56,-23.02,160.17
Barbier F,15.85,-23.82,158.21
Barbier G,16.61,-24.16,159.86
Barbier H,16.18,-25.11,160.48
Barbier J,42.21,-25.78,160.23
Barbier K,13.25,-26.29,159.2
Barbier U,41.12,-22.78,155.18
Barbier V,30.37,-22.27,154.58
Barkla,40.9,-10.67,67.22
Barnard,115.73,-29.79,85.95
Barnard A,15.38,-32.15,85.06
Barnard D,52.24,-31.34,89.17
Barocius,82.72,-44.98,16.81
Barocius B,36.57,-44.13,18.29
Barocius C,35.84,-43.11,17.48
Barocius D,8.69,-46.06,19.18
Barocius E,23.58,-47.24,22.15
Barocius EC,7.67,-48.22,22.49
Barocius F,15.38,-45.92,21.6
Barocius G,27.61,-42.52,21.03
Barocius H,10.56,-46.71,21.63
Barocius J,27.16,-44.97,21.41
Barocius K,13.56,-45.22,19.63
Barocius L,13.03,-42.5,18.81
Barocius M,15.85,-42.45,19.48
Barocius N,10.07,-43.2,19.76
Barocius O,5.36,-45.75,21.93
Barocius R,14.26,-43.91,21.53
Barocius S,8.27,-42.5,21.82
Barocius W,18.9,-45.68,16.21
Barringer,66.89,-28.22,-150.43
Barringer C,22.05,-26.82,-149.06
[Barringer L],0,-31.1,-148.9
[Barringer M],0,-31.6,-150.2
Barringer Z,21.84,-24.76,-150.24
Barrow,93.82,71.28,7.59
Barrow A,27.38,70.56,3.86
Barrow B,16.82,70.16,10.53
Barrow C,27.99,73.02,11.12
Barrow E,17.95,69,3.33
Barrow F,18.6,69.16,1.81
Barrow G,29.36,70.17,0.26
Barrow H,4.89,69.28,6
Barrow K,45.52,69.29,11.74
Barrow M,5.86,67.61,9.14
Bartels,54.95,24.51,-89.85
Bartels A,16.85,25.7,-89.6
[Baudelaire],0,-23.2,123.1
Bawa,1.57,-25.28,102.56
Bayer,48.51,-51.62,-35.14
Bayer A,17.54,-51.36,-30.44
Bayer B,23.09,-48.82,-28.2
Bayer C,22.1,-49.77,-31.42
Bayer D,19.6,-47.96,-29.84
Bayer E,29.35,-51.77,-32.41
Bayer F,19.11,-53.03,-31.68
Bayer G,7.44,-51.74,-35.49
Bayer H,31.54,-53.53,-32.68
Bayer J,24.64,-52.26,-33.62
